0, 19, 33, 22, 27, 12
1, 4, 24, 32, 19, 33
2, 36, 15, 42, 11, 7
3, 21, 6, 5, 3, 28
4, 6, 44, 15, 42, 2
5, 38, 35, 25, 34, 23
6, 23, 26, 35, 26, 44
7, 8, 17, 45, 18, 18
8, 40, 8, 8, 10, 39
9, 25, 46, 18, 2, 13
10, 10, 37, 28, 41, 34
11, 42, 28, 38, 33, 8
12, 27, 19, 1, 25, 29
13, 12, 10, 11, 17, 3
14, 44, 1, 21, 9, 24
15, 29, 39, 31, 1, 45
16, 14, 30, 41, 40, 19
17 ,  46 ,  21 ,  4 ,  32 ,  40
18 ,  31 ,  12 ,  14 ,  24 ,  14
19 ,  16 ,  3 ,  24 ,  16 ,  35
20 ,  1 ,  41 ,  34 ,  8 ,  9
21 ,  33 ,  32 ,  44 ,  0 ,  30
22 ,  18 ,  23 ,  7 ,  39 ,  4
23 ,  3 ,  14 ,  17 ,  31 ,  25
24 ,  35 ,  5 ,  27 ,  23 ,  46
25 ,  20 ,  43 ,  37 ,  15 ,  20
26 ,  5 ,  34 ,  0 ,  7 ,  41
27 ,  37 ,  25 ,  10 ,  46 ,  15
28 ,  22 ,  16 ,  20 ,  38 ,  36
29 ,  7 ,  7 ,  30 ,  30 ,  10
30 ,  39 ,  45 ,  40 ,  22 ,  31
31 ,  24 ,  36 ,  3 ,  14 ,  5
32 ,  9 ,  27 ,  13 ,  6 ,  26
33 ,  41 ,  18 ,  23 ,  45 ,  47
34 ,  26 ,  9 ,  33 ,  37 ,  21
35 ,  11 ,  0 ,  43 ,  29 ,  42
36 ,  43 ,  38 ,  6 ,  21 ,  16
37 ,  28 ,  29 ,  16 ,  13 ,  37
38 ,  13 ,  20 ,  26 ,  5 ,  11
39 ,  45 ,  11 ,  36 ,  44 ,  32
40 ,  30 ,  2 ,  46 ,  36 ,  6
41 ,  15 ,  40 ,  9 ,  28 ,  27
42 ,  0 ,  31 ,  19 ,  20 ,  1
43 ,  32 ,  22 ,  29 ,  12 ,  22
44 ,  17 ,  13 ,  39 ,  4 ,  43
45 ,  2 ,  4 ,  2 ,  43 ,  17
46 ,  34 ,  42 ,  12 ,  35 ,  38
